Date,Decade,Year,Month,Day,min,max,mean
1991-10-09 00:00:00,1990s,1991,10,9,41.0,73.0,57.0
1991-10-10 00:00:00,1990s,1991,10,10,46.0,75.0,60.5
1992-10-03 00:00:00,1990s,1992,10,3,48.0,78.0,63.0
1992-10-04 00:00:00,1990s,1992,10,4,52.0,66.0,59.0
1992-10-05 00:00:00,1990s,1992,10,5,48.0,63.0,55.5
1992-10-06 00:00:00,1990s,1992,10,6,41.0,63.0,52.0
1992-10-07 00:00:00,1990s,1992,10,7,36.0,68.0,52.0
1992-10-08 00:00:00,1990s,1992,10,8,42.0,73.0,57.5
1992-10-09 00:00:00,1990s,1992,10,9,59.0,71.0,65.0
1992-10-10 00:00:00,1990s,1992,10,10,53.0,73.0,63.0
1993-10-03 00:00:00,1990s,1993,10,3,45.0,65.0,55.0
1993-10-04 00:00:00,1990s,1993,10,4,42.0,73.0,57.5
1993-10-05 00:00:00,1990s,1993,10,5,43.0,64.0,53.5
1993-10-06 00:00:00,1990s,1993,10,6,39.0,68.0,53.5
1993-10-07 00:00:00,1990s,1993,10,7,46.0,73.0,59.5
1993-10-08 00:00:00,1990s,1993,10,8,52.0,76.0,64.0
1993-10-09 00:00:00,1990s,1993,10,9,54.0,80.0,67.0
1993-10-10 00:00:00,1990s,1993,10,10,41.0,64.0,52.5
1994-10-03 00:00:00,1990s,1994,10,3,48.0,62.0,55.0
1994-10-04 00:00:00,1990s,1994,10,4,44.0,63.0,53.5
1994-10-05 00:00:00,1990s,1994,10,5,45.0,63.0,54.0
1994-10-06 00:00:00,1990s,1994,10,6,39.0,65.0,52.0
1994-10-07 00:00:00,1990s,1994,10,7,43.0,71.0,57.0
1994-10-08 00:00:00,1990s,1994,10,8,46.0,74.0,60.0
1994-10-09 00:00:00,1990s,1994,10,9,58.0,80.0,69.0
1994-10-10 00:00:00,1990s,1994,10,10,48.0,64.0,56.0
1995-10-03 00:00:00,1990s,1995,10,3,59.0,83.0,71.0
1995-10-04 00:00:00,1990s,1995,10,4,67.0,74.0,70.5
1995-10-05 00:00:00,1990s,1995,10,5,67.0,78.0,72.5
1995-10-06 00:00:00,1990s,1995,10,6,70.0,86.0,78.0
1995-10-07 00:00:00,1990s,1995,10,7,67.0,83.0,75.0
1995-10-08 00:00:00,1990s,1995,10,8,52.0,69.0,60.5
1995-10-09 00:00:00,1990s,1995,10,9,47.0,73.0,60.0
1995-10-10 00:00:00,1990s,1995,10,10,50.0,74.0,62.0
1996-10-03 00:00:00,1990s,1996,10,3,47.0,66.0,56.5
1996-10-04 00:00:00,1990s,1996,10,4,36.0,56.0,46.0
1996-10-05 00:00:00,1990s,1996,10,5,35.0,60.0,47.5
1996-10-06 00:00:00,1990s,1996,10,6,37.0,63.0,50.0
1996-10-07 00:00:00,1990s,1996,10,7,38.0,66.0,52.0
1996-10-08 00:00:00,1990s,1996,10,8,54.0,61.0,57.5
1996-10-09 00:00:00,1990s,1996,10,9,48.0,70.0,59.0
1996-10-10 00:00:00,1990s,1996,10,10,43.0,62.0,52.5
1997-10-03 00:00:00,1990s,1997,10,3,40.0,73.0,56.5
1997-10-04 00:00:00,1990s,1997,10,4,54.0,83.0,68.5
1997-10-05 00:00:00,1990s,1997,10,5,54.0,86.0,70.0
1997-10-06 00:00:00,1990s,1997,10,6,61.0,89.0,75.0
1997-10-07 00:00:00,1990s,1997,10,7,59.0,86.0,72.5
1997-10-08 00:00:00,1990s,1997,10,8,58.0,83.0,70.5
1997-10-09 00:00:00,1990s,1997,10,9,57.0,85.0,71.0
1997-10-10 00:00:00,1990s,1997,10,10,57.0,86.0,71.5
1998-10-03 00:00:00,1990s,1998,10,3,40.0,64.0,52.0
